Layer,ConvolutionSize,InputSize_MB,OutputSize_MB,KernelSize_MB
1_Convolution,3x3,2.21798,23.6585,0.001728
2_Convolution,3x3,23.6585,11.8292,0.036864
3_Convolution,1x1,11.8292,5.91462,0.004096
4_Convolution,3x3,5.91462,11.8292,0.036864
5_Residual,res,11.8292,11.8292,-
6_Convolution,3x3,11.8292,5.91462,0.147456
7_Convolution,1x1,5.91462,2.95731,0.016384
8_Convolution,3x3,2.95731,5.91462,0.147456
9_Residual,res,5.91462,5.91462,-
10_Convolution,1x1,5.91462,2.95731,0.016384
11_Convolution,3x3,2.95731,5.91462,0.147456
12_Residual,res,5.91462,5.91462,-
13_Convolution,3x3,5.91462,2.95731,0.589824
14_Convolution,1x1,2.95731,1.47866,0.065536
15_Convolution,3x3,1.47866,2.95731,0.589824
16_Residual,res,2.95731,2.95731,-
17_Convolution,1x1,2.95731,1.47866,0.065536
18_Convolution,3x3,1.47866,2.95731,0.589824
19_Residual,res,2.95731,2.95731,-
20_Convolution,1x1,2.95731,1.47866,0.065536
21_Convolution,3x3,1.47866,2.95731,0.589824
22_Residual,res,2.95731,2.95731,-
23_Convolution,1x1,2.95731,1.47866,0.065536
24_Convolution,3x3,1.47866,2.95731,0.589824
25_Residual,res,2.95731,2.95731,-
26_Convolution,1x1,2.95731,1.47866,0.065536
27_Convolution,3x3,1.47866,2.95731,0.589824
28_Residual,res,2.95731,2.95731,-
29_Convolution,1x1,2.95731,1.47866,0.065536
30_Convolution,3x3,1.47866,2.95731,0.589824
31_Residual,res,2.95731,2.95731,-
32_Convolution,1x1,2.95731,1.47866,0.065536
33_Convolution,3x3,1.47866,2.95731,0.589824
34_Residual,res,2.95731,2.95731,-
35_Convolution,1x1,2.95731,1.47866,0.065536
36_Convolution,3x3,1.47866,2.95731,0.589824
37_Residual,res,2.95731,2.95731,-
38_Convolution,3x3,2.95731,1.47866,2.3593
39_Convolution,1x1,1.47866,0.739328,0.262144
40_Convolution,3x3,0.739328,1.47866,2.3593
41_Residual,res,1.47866,1.47866,-
42_Convolution,1x1,1.47866,0.739328,0.262144
43_Convolution,3x3,0.739328,1.47866,2.3593
44_Residual,res,1.47866,1.47866,-
45_Convolution,1x1,1.47866,0.739328,0.262144
46_Convolution,3x3,0.739328,1.47866,2.3593
47_Residual,res,1.47866,1.47866,-
48_Convolution,1x1,1.47866,0.739328,0.262144
49_Convolution,3x3,0.739328,1.47866,2.3593
50_Residual,res,1.47866,1.47866,-
51_Convolution,1x1,1.47866,0.739328,0.262144
52_Convolution,3x3,0.739328,1.47866,2.3593
53_Residual,-,1.47866,1.47866,-
54_Convolution,1x1,1.47866,0.739328,0.262144
55_Convolution,3x3,0.739328,1.47866,2.3593
56_Residual,res,1.47866,1.47866,-
57_Convolution,1x1,1.47866,0.739328,0.262144
58_Convolution,3x3,0.739328,1.47866,2.3593
59_Residual,res,1.47866,1.47866,-
60_Convolution,1x1,1.47866,0.739328,0.262144
61_Convolution,3x3,0.739328,1.47866,2.3593
62_Residual,res,1.47866,1.47866,-
63_Convolution,3x3,1.47866,0.739328,9.43718
64_Convolution,1x1,0.739328,0.369664,1.04858
65_Convolution,3x3,0.369664,0.739328,9.43718
66_Residual,res,0.739328,0.739328,-
67_Convolution,1x1,0.739328,0.369664,1.04858
68_Convolution,3x3,0.369664,0.739328,9.43718
69_Residual,res,0.739328,0.739328,-
70_Convolution,1x1,0.739328,0.369664,1.04858
71_Convolution,3x3,0.369664,0.739328,9.43718
72_Residual,res,0.739328,0.739328,-
73_Convolution,1x1,0.739328,0.369664,1.04858
74_Convolution,3x3,0.369664,0.739328,9.43718
75_Residual,res,0.739328,0.739328,-
76_Convolution,1x1,0.739328,0.369664,1.04858
77_Convolution,3x3,0.369664,0.739328,9.43718
78_Convolution,1x1,0.739328,0.369664,1.04858
79_Convolution,3x3,0.369664,0.739328,9.43718
80_Convolution,1x1,0.739328,0.369664,1.04858
81_Convolution,3x3,0.369664,0.739328,9.43718
82_Convolution,1x1,0.739328,0.18411,0.52224
83_YOLO,-,0.18411,0.18411,-
84_Concat,-,0.369664,0.369664,-
85_Convolution,1x1,0.369664,0.184832,0.262144
86_UpSample,-,0.184832,0.739328,-
87_Concat,-,0.739328,2.21798,-
88_Convolution,1x1,2.21798,0.739328,0.393216
89_Convolution,3x3,0.739328,1.47866,2.3593
90_Convolution,1x1,1.47866,0.739328,0.262144
91_Convolution,3x3,0.739328,1.47866,2.3593
92_Convolution,1x1,1.47866,0.739328,0.262144
93_Convolution,3x3,0.739328,1.47866,2.3593
94_Convolution,1x1,1.47866,0.73644,0.26112
95_YOLO,-,0.73644,0.73644,-
96_Concat,-,0.739328,0.739328,-
97_Convolution,1x1,0.739328,0.369664,0.065536
98_UpSample,-,0.369664,1.47866,-
99_Concat,-,1.47866,4.43597,-
100_Convolution,1x1,4.43597,1.47866,0.098304
101_Convolution,3x3,1.47866,2.95731,0.589824
102_Convolution,1x1,2.95731,1.47866,0.065536
103_Convolution,3x3,1.47866,2.95731,0.589824
104_Convolution,1x1,2.95731,1.47866,0.065536
105_Convolution,3x3,1.47866,2.95731,0.589824
106_Convolution,1x1,2.95731,2.94576,0.13056
107_YOLO,-,2.94576,2.94576,-
